Ward,LaborForce,Employment,Unemployment,Rate,Month,YEAR
1,58.582,54.461,4.121,7,13-Jan,2013
2,60.202,56.356,3.846,6.4,13-Jan,2013
3,52.938,49.83,3.108,5.9,13-Jan,2013
4,45.513,41.578,3.935,8.6,13-Jan,2013
5,40.965,36.416,4.549,11.1,13-Jan,2013
6,53.708,49.33,4.378,8.2,13-Jan,2013
7,34.122,29.16,4.962,14.5,13-Jan,2013
8,27.959,22.997,4.962,17.7,13-Jan,2013
1,58.786,54.856,3.93,6.7,13-Feb,2013
2,60.63,56.764,3.866,6.4,13-Feb,2013
3,53.16,50.191,2.969,5.6,13-Feb,2013
4,45.605,41.88,3.725,8.2,13-Feb,2013
5,41.22,36.68,4.54,11,13-Feb,2013
6,53.952,49.688,4.264,7.9,13-Feb,2013
7,34.369,29.372,4.997,14.5,13-Feb,2013
1,58533,54709,3824,6.5,13-Mar,2013
2,60250,56612,3638,6,13-Mar,2013
3,52908,50056,2852,5.4,13-Mar,2013
4,45447,41767,3680,8.1,13-Mar,2013
5,41030,36581,4449,10.8,13-Mar,2013
6,53768,49554,4214,7.8,13-Mar,2013
7,34213,29293,4920,14.4,13-Mar,2013
8,27773,23101,4672,16.8,13-Mar,2013
1,58348,54811,3537,6.1,13-Apr,2013
2,60022,56718,3304,5.5,13-Apr,2013
3,52782,50150,2632,5,13-Apr,2013
4,45201,41845,3356,7.4,13-Apr,2013
5,40775,36650,4125,10.1,13-Apr,2013
6,53580,49647,3933,7.3,13-Apr,2013
7,33908,29347,4561,13.5,13-Apr,2013
8,27616,23145,4471,16.2,13-Apr,2013
1,58299,54675,3624,6.2,13-May,2013
2,60126,56577,3549,5.9,13-May,2013
3,52913,50025,2888,5.5,13-May,2013
4,45208,41741,3467,7.7,13-May,2013
5,40814,36559,4255,10.4,13-May,2013
6,53425,49523,3902,7.3,13-May,2013
7,33893,29274,4619,13.6,13-May,2013
8,27693,23087,4606,16.6,13-May,2013
1,59038,54955,4083,6.9,13-Jun,2013
2,60800,56866,3934,6.5,13-Jun,2013
3,53462,50281,3181,6,13-Jun,2013
4,45797,41955,3842,8.4,13-Jun,2013
5,41344,36746,4598,11.1,13-Jun,2013
6,53842,49777,4065,7.5,13-Jun,2013
7,34343,29424,4919,14.3,13-Jun,2013
8,28052,23205,4847,17.3,13-Jun,2013
1,59439,55499,3940,6.6,13-Jul,2013
2,61189,57430,3759,6.1,13-Jul,2013
3,53778,50780,2998,5.6,13-Jul,2013
4,46176,42371,3805,8.2,13-Jul,2013
5,41809,37110,4699,11.2,13-Jul,2013
6,54097,50270,3827,7.1,13-Jul,2013
7,34929,29716,5213,14.9,13-Jul,2013
8,28502,23435,5067,17.8,13-Jul,2013
1,58136,54467,3669,6.3,13-Aug,2013
2,59743,56361,3382,5.7,13-Aug,2013
3,52661,49835,2826,5.4,13-Aug,2013
4,45250,41582,3668,8.1,13-Aug,2013
5,40973,36420,4553,11.1,13-Aug,2013
6,53139,49335,3804,7.2,13-Aug,2013
7,34269,29163,5106,14.9,13-Aug,2013
8,27969,22999,4970,17.8,13-Aug,2013
1,57955,54277,3678,6.3,13-Sep,2013
2,59568,56165,3403,5.7,13-Sep,2013
3,52506,49661,2845,5.4,13-Sep,2013
4,45130,41437,3693,8.2,13-Sep,2013
5,40845,36293,4552,11.1,13-Sep,2013
6,53009,49163,3846,7.3,13-Sep,2013
7,33985,29061,4924,14.5,13-Sep,2013
8,27801,22919,4882,17.6,13-Sep,2013
1,57853,54214,3639,6.3,13-Oct,2013
2,59501,56099,3402,5.7,13-Oct,2013
3,52366,49603,2763,5.3,13-Oct,2013
4,45158,41389,3769,8.3,13-Oct,2013
5,40808,36250,4558,11.2,13-Oct,2013
6,53095,49106,3989,7.5,13-Oct,2013
7,33959,29028,4931,14.5,13-Oct,2013
8,27771,22892,4879,17.6,13-Oct,2013
